candidatura;eleccion;votos;votos_pais;votos_pais_mayoria;ganador_pais
Eduardo Artes;Primera vuelta;102209;7080276;1954607;Jose Antonio Kast
Franco Aldo Parisi;Primera vuelta;899067;7080276;1954607;Jose Antonio Kast
Gabriel Boric;Primera vuelta;1796851;7080276;1954607;Jose Antonio Kast
Jose Antonio Kast;Primera vuelta;1954607;7080276;1954607;Jose Antonio Kast
Marco Enriquez-Ominami;Primera vuelta;533554;7080276;1954607;Jose Antonio Kast
Sebastian Sichel;Primera vuelta;894838;7080276;1954607;Jose Antonio Kast
Votos En Blanco;Primera vuelta;30427;7080276;1954607;Jose Antonio Kast
Votos Nulos;Primera vuelta;55316;7080276;1954607;Jose Antonio Kast
Yasna Provoste;Primera vuelta;813407;7080276;1954607;Jose Antonio Kast
Gabriel Boric;Segunda vuelta;4596579;8329332;4596579;Gabriel Boric
Jose Antonio Kast;Segunda vuelta;3640606;8329332;4596579;Gabriel Boric
Votos En Blanco;Segunda vuelta;23816;8329332;4596579;Gabriel Boric
Votos Nulos;Segunda vuelta;68331;8329332;4596579;Gabriel Boric
